work_id,char_count
B0147,171248
B0146,48944
B0150,495
B0148,36477
B0149,36233
B0103,422916
B0116,78021
B0089,161950
B0092,34819
B0093,69496
B0091,52990
B0090,22459
B0094,26107
B0159,30566
B0158,25982
B0155,90538
B0156,29300
B0157,213220
B0062,8462
B0063,9440
B0061,4555
B0049,1488
B0048,56544
B0060,4343
B0058,22150
B0064,14495
B0065,108184
B0059,20148
B0067,230814
B0066,39324
B0057,46863
B0056,8570
B0054,1079
B0068,224744
B0055,499
B0051,4193
B0050,8924
B0052,1365
B0053,569
B0076,39034
B0075,97877
B0074,36904
B0070,15125
B0071,34182
B0073,104048
B0072,32602
B0069,46879
B0088,2106556
B0160,359567
B0161,172787
B0153,98593
B0152,141466
B0151,389631
B0095,84146
B0097,48109
B0096,20009
B0098,196627
B0099,17027
B0101,5272
B0002,1703972
B0001,425921
B0193,779003
B0192,554175
B0171,25499
B0172,30118
B0173,233798
B0177,51695
B0189,4425
B0176,44751
B0174,108952
B0175,10201
B0178,3566
B0187,26653
B0186,23586
B0179,2268
B0190,6045
B0184,48257
B0185,80095
B0191,2310
B0181,9294
B0180,7581
B0182,13407
B0183,22441
B0195,20577
B0194,335714
B0196,11389
B0117,612436
B0118,66180
B0119,42197
B0142,37475
B0143,17425
B0144,191463
B0145,210759
B0079,558298
B0080,109571
B0082,93206
B0081,72025
B0085,60259
B0084,5115
B0086,56180
B0087,52856
B0078,102652
B0077,128948
B0139,8753
B0141,115860
B0140,49224
B0135,106414
B0134,24548
B0136,61037
B0137,137402
B0133,8236
B0132,25346
B0131,55877
B0130,8608
B0007,110980
B0006,74112
B0004,162872
B0005,235407
B0003,178103
B0008,65696
B0009,209402
B0163,121806
B0026,678107
B0027,89299
B0029,68379
B0028,61910
B0045,51478
B0044,134977
B0046,5037
B0047,31687
B0043,161249
B0042,8173
B0040,61847
B0041,5555
B0032,8130
B0033,6470
B0031,44025
B0030,7512
B0034,1517
B0035,7529
B0037,17531
B0036,1500
B0038,9425
B0039,12208
B0197,186114
B0198,558928
B0169,318322
B0170,908494
B0013,333
B0012,1006
B0010,1250
B0011,1109
B0015,965
B0014,1563
B0016,798
B0017,15250
B0025,16713
B0019,5675
B0018,26951
B0024,49429
B0020,9178
B0021,4554
B0023,309725
B0022,6419
