work_id,char_count
I0035,675
I0021,660
I0009,477
I0008,102
I0020,321
I0034,986
I0022,662
I0036,496
I0037,1421
I0023,480
I0027,274
I0033,557
I0032,487
I0026,566
I0018,679
I0030,356
I0024,190
I0025,363
I0031,582
I0019,352
I0095,676
I0081,445
I0056,160
I0042,2457
I0043,943
I0057,438
I0080,746
I0094,548
I0082,832
I0096,1446
I0041,2476
I0055,564
I0069,240
I0068,285
I0054,612
I0040,2929
I0097,406
I0083,373
I0087,292
I0093,954
I0078,545
I0044,993
I0050,1019
I0051,634
I0045,694
I0079,416
I0092,620
I0086,427
I0090,757
I0084,539
I0053,628
I0047,822
I0046,1017
I0052,858
I0085,602
I0091,1085
I0088,959
I0077,423
I0063,2210
I0062,1524
I0076,794
I0089,467
I0100,183
I0060,2354
I0074,1519
I0048,1098
I0049,977
I0075,365
I0061,212
I0059,353
I0065,314
I0071,584
I0070,558
I0064,1445
I0058,1234
I0099,421
I0072,1910
I0066,717
I0067,966
I0073,5187
I0098,1653
I0014,508
I0028,834
I0029,3799
I0001,959
I0015,269
I0003,337
I0017,283
I0016,395
I0002,1064
I0006,867
I0012,634
I0013,1438
I0007,2143
I0039,275
I0011,1018
I0005,259
I0004,304
I0010,156
I0038,299
