work_id,char_count
D8820,154
D8853,162434
D8879,345728
D8880,11425
D8939,353378
D8904,250271
D8930,41451
D8881,17616
D8874,9897
D8842,4785
D8838,23949
D8936,69214
D8903,313544
D8942,36057
D8952,551
D8953,1967
D9026,644
D8890,9479
D8895,39351
D8790,2726
D8779,1355
D8898,39522
D9031,6043
D9027,553
D8954,82772
D8951,416259
D8775,2334
D8899,21656
D8679,4398
D8896,161411
D8780,3834
D8889,35164
D8915,2170
D8905,72611
D8888,118163
D8859,220595
D8817,1418
D8863,319249
D8883,75548
D8869,6805
D8913,8172
D8914,306859
D8871,4977
D8864,34862
D8882,14141
D8814,3762
D8885,45647
D8862,362357
D8894,116881
D8891,69822
D8724,2913
D8701,1393
D9000,33445
D8945,26664
D9011,21451
D9025,68629
D8680,9385
D8774,14928
D8892,55854
D8893,51431
D9021,31393
D9010,40205
D8948,28578
D8980,90729
